project_id,customer_id,project_name,start_date,end_date,delivered_date,project_manager,estimated_cost,actual_cost,status
1196,7511,FinanceSyncPro Implementation 14,11/29/2024,11/16/2025,12/8/2025,31,37491.46,39412.61,Completed
820,7512,MarketingCloudPro Implementation 12,6/6/2022,7/19/2022,7/28/2022,42,4627.62,5421.55,In Progress
1912,7513,CustomerManagerPro Implementation 5,3/12/2025,1/5/2026,1/24/2026,19,78077.16,87519.5,Completed
2519,7515,ExpenseCloudPro Implementation 34,3/31/2021,12/30/2021,1/14/2022,3,21783.24,22254.75,Delayed
1087,7517,SalesManager Implementation 29,7/19/2025,3/17/2026,4/7/2026,58,1761.42,1439.29,Planned
99,7518,RevenuePro Implementation 35,3/7/2024,7/18/2024,7/30/2024,68,65198.57,56629.61,Completed
1587,7519,RetailFlow Implementation 6,5/3/2025,10/4/2025,10/28/2025,56,61265.55,57986.93,Delayed
1906,7522,TaskMasterPro Implementation 5,10/11/2020,9/12/2021,9/27/2021,44,51264.53,54448.4,Planned
622,7524,BudgetCloud Implementation 20,10/20/2020,9/10/2021,9/28/2021,1,88562.12,102370.94,Completed
2211,7526,MarketingFlow Implementation 1,5/31/2022,7/17/2022,8/13/2022,67,84451.66,94255.65,In Progress
3255,7527,ProjectCloudPro Implementation 25,2/21/2025,10/9/2025,10/22/2025,99,56324.13,60282.14,In Progress
772,7530,CRM Plus Implementation 15,4/18/2021,6/16/2021,6/24/2021,73,55245.31,58748.6,Completed
412,7538,CRM Cloud Implementation 1,5/10/2020,5/10/2021,5/30/2021,42,64055.82,71083.48,Delayed
235,7540,AnalyticsFlowPro Implementation 25,7/12/2024,5/17/2025,6/14/2025,47,82021.76,97183.27,Delayed
1137,7546,RevenueMax Implementation 21,10/5/2020,4/22/2021,4/26/2021,70,83171.69,78392.53,Delayed
414,7548,SalesManagerPro Implementation 48,6/29/2023,4/24/2024,5/19/2024,46,67510.18,59443.85,Delayed
2402,7552,ProjectPro Implementation 4,3/4/2022,10/23/2022,10/30/2022,53,2493.52,2607.97,Completed
972,7553,FinanceTracker Implementation 34,1/3/2020,3/24/2020,4/8/2020,21,23607.34,19060.84,Delayed
1145,7555,SupportCloudPro Implementation 20,7/9/2023,10/8/2023,11/5/2023,76,81138.41,90251.12,In Progress
3056,7556,ProfitTracker Implementation 30,8/24/2022,3/26/2023,4/4/2023,5,30435.6,26390.91,Delayed
3387,7558,TaskFlowPro Implementation 21,1/8/2023,12/25/2023,1/8/2024,24,57509.58,50214.8,In Progress
318,7560,RetailManager Implementation 44,6/12/2021,8/21/2021,9/10/2021,62,75461.63,87098.53,In Progress
3278,7563,SalesBoost Implementation 3,1/16/2023,8/17/2023,9/2/2023,63,55715.23,66004.4,Planned
1371,7565,FinanceSuite Implementation 4,9/10/2021,2/17/2022,2/18/2022,92,27468.94,30113.57,Completed
1022,7571,RetailCloudPro Implementation 49,9/20/2020,3/10/2021,3/20/2021,31,1282.89,1464.52,Completed
3113,7574,ServiceDesk Implementation 19,10/18/2022,1/13/2023,2/2/2023,54,84628.88,88629.25,In Progress
1931,7579,TaskMasterPro Implementation 29,1/12/2022,6/15/2022,6/29/2022,33,2677.27,3116.7,Completed
2984,7579,ProjectCloud Implementation 31,6/9/2025,5/14/2026,5/21/2026,61,84999.88,87473.34,Completed
1404,7586,ServiceDesk Implementation 21,10/17/2023,4/7/2024,4/20/2024,43,78200.54,72692.78,Delayed
2036,7586,ProfitSuite Implementation 1,4/6/2021,7/9/2021,7/19/2021,6,40729.61,48480.25,In Progress
783,7596,AnalyticsHub Implementation 6,10/12/2023,2/9/2024,2/14/2024,53,16272.95,13262.06,Completed
1756,7600,TeamCloudPro Implementation 3,7/7/2022,3/14/2023,3/29/2023,14,72464.09,74168.5,Delayed
3023,7601,CustomerTrackerPro Implementation 48,11/29/2024,4/30/2025,5/28/2025,24,70570.2,58800.88,Planned
1387,7602,FinanceFlow Implementation 36,4/26/2020,11/21/2020,12/9/2020,100,78062.11,88071.82,Completed
1797,7604,CRM Max Implementation 49,9/20/2020,3/8/2021,4/7/2021,45,83868.88,89397.42,Planned
2820,7606,MarketTrack Implementation 36,2/21/2021,10/6/2021,10/24/2021,34,84285.16,100596.02,Completed
3281,7608,InvoiceFlowPro Implementation 5,1/29/2023,3/13/2023,3/20/2023,61,13457.76,15733.22,Planned
1465,7611,FinanceCloud Implementation 40,1/15/2022,8/16/2022,8/21/2022,11,48453.26,40603.68,Planned
138,7612,CloudERP Implementation 43,8/31/2024,7/17/2025,7/22/2025,47,52749.31,45563.81,Completed
3107,7615,AnalyticsSyncPro Implementation 37,10/23/2024,2/10/2025,3/2/2025,69,48896.51,51362.77,Delayed
675,7617,AnalyticsHub Implementation 38,11/18/2020,6/5/2021,6/30/2021,60,10309.4,9791.89,Planned
2713,7624,ExpenseTrack Implementation 49,2/18/2024,3/31/2024,4/23/2024,80,29358.23,23946.61,Planned
1332,7626,ProjectMax Implementation 2,10/1/2020,9/7/2021,10/1/2021,98,21825.79,18087.62,In Progress
1200,7629,FinancePro Implementation 6,12/13/2020,1/16/2021,1/20/2021,26,90468.59,92337.55,Completed
1390,7638,MarketingPro Implementation 20,1/11/2025,5/19/2025,6/18/2025,63,88858.47,104020.06,Delayed
2595,7643,AnalyticsTrackerPro Implementation 18,4/1/2023,9/9/2023,9/17/2023,92,73310.33,79375.47,Planned
3251,7650,MarketingCloud Implementation 25,6/21/2023,6/8/2024,6/22/2024,93,91020.99,74323.87,In Progress
2203,7651,RevenueGen Implementation 23,9/25/2025,8/14/2026,8/16/2026,71,52100.91,47333.61,Completed
2571,7653,SalesSyncPro Implementation 49,11/8/2021,12/25/2021,1/11/2022,83,86036.81,102456.68,Completed
466,7655,ProductivityPro Implementation 41,9/10/2020,2/10/2021,2/17/2021,71,67908.04,77315.98,Completed
1613,7656,CustomerSuite Implementation 25,7/16/2024,11/11/2024,11/18/2024,61,13075.67,12674.01,Delayed
2056,7663,ProjectSyncPro Implementation 18,10/20/2023,11/27/2023,11/28/2023,47,21109.1,17871.58,In Progress
37,7664,OrderSuite Implementation 4,10/16/2025,12/7/2025,12/27/2025,97,74580.96,84455.66,Completed
3432,7664,ServiceDesk Implementation 33,4/2/2024,12/9/2024,1/5/2025,59,17237.29,17319.83,Delayed
1347,7666,FinanceFlow Implementation 27,4/13/2024,10/26/2024,11/14/2024,28,53018.03,53042.96,Planned
1617,7669,CRM Plus Implementation 28,3/5/2020,4/12/2020,4/28/2020,70,3361.94,3896.51,Planned
2176,7680,TeamTrackerPro Implementation 30,6/1/2020,5/16/2021,5/19/2021,30,98012.05,114473.4,Completed
2478,7681,LeadTrackerPro Implementation 45,3/27/2022,8/16/2022,9/11/2022,96,34223.2,31060.17,Completed
804,7682,TaskCloud Implementation 36,6/24/2023,5/30/2024,6/8/2024,18,96996.87,87875.08,In Progress
490,7685,TaskMax Implementation 43,1/17/2021,3/19/2021,3/28/2021,99,10635.28,9289.8,Planned
256,7690,AdTracker Implementation 4,7/27/2025,11/16/2025,12/3/2025,33,76460.17,77700.93,Planned
2084,7691,CRM SyncPro Implementation 8,11/27/2020,11/17/2021,11/18/2021,61,34893.61,35211.51,Delayed
1463,7693,SupportManagerPro Implementation 34,5/12/2023,12/8/2023,12/22/2023,10,54748.57,53522.61,Delayed
1149,7695,FinanceCloudPro Implementation 43,3/3/2020,11/30/2020,12/30/2020,74,50389.08,45372.67,Delayed
1025,7700,InvoiceTracker Implementation 37,9/10/2023,4/1/2024,4/2/2024,94,42956.84,40291.73,Planned
2108,7700,HR Suite Implementation 9,6/7/2025,10/1/2025,10/15/2025,81,91499.1,96994.21,Planned
885,7704,DataManager Implementation 43,4/16/2021,4/10/2022,4/10/2022,59,91940.48,100000.87,Planned
1139,7704,SmartBilling Implementation 1,11/11/2025,6/19/2026,7/3/2026,77,54268.81,44514.24,In Progress
181,7708,TeamCloud Implementation 2,10/20/2025,6/25/2026,6/29/2026,63,16099.39,18562.12,In Progress
2671,7708,MarketingSuite Implementation 12,2/25/2021,12/25/2021,1/12/2022,75,9899.69,9187,In Progress
2797,7708,DataSuite Implementation 42,12/17/2025,8/9/2026,8/10/2026,27,13504.73,11887.45,Planned
