bug_id,project_id,severity,description,reported_date,resolved
1,44,High,Module d’impression ne répond plus. (bug #1),2022-04-19,0
2,275,High,Données corrompues lors de la fusion de documents. (bug #2),2022-11-09,0
3,422,High,Erreur de sauvegarde dans le module de traitement. (bug #3),2022-02-03,1
4,1,High,Export PDF ne génère pas le bon format. (bug #4),2023-12-21,0
5,377,Critical,La mise en page change après la réouverture du document. (bug #5),2024-07-30,0
6,103,Critical,Erreur de conversion d’encodage. (bug #6),2024-07-24,0
7,403,Medium,Fonction de recherche ne retourne pas les bons résultats. (bug #7),2024-08-24,0
8,375,Low,Données corrompues lors de la fusion de documents. (bug #8),2024-08-31,0
9,379,Critical,Problème d’affichage dans l’interface utilisateur. (bug #9),2023-07-31,0
10,240,Low,Crash lors de l'ouverture du fichier. (bug #10),2024-03-26,0
11,475,Low,Données corrompues lors de la fusion de documents. (bug #11),2022-09-25,1
12,242,Critical,Les macros ne s’exécutent pas correctement. (bug #12),2022-07-17,1
13,124,Critical,Erreur de compilation dans le module principal. (bug #13),2023-01-13,0
14,177,Critical,Impossible de charger certains modèles. (bug #14),2023-10-24,0
15,265,Low,Crash lors de l'ouverture du fichier. (bug #15),2023-06-15,0
16,346,Medium,Problème d’affichage dans l’interface utilisateur. (bug #16),2023-08-21,0
17,1,Low,Export PDF ne génère pas le bon format. (bug #17),2022-07-21,1
18,202,High,Erreur de conversion d’encodage. (bug #18),2022-01-28,0
19,50,Medium,La mise en page change après la réouverture du document. (bug #19),2022-07-04,0
20,195,Critical,Crash lors de l'ouverture du fichier. (bug #20),2023-09-28,1
21,56,Medium,Fonction de recherche ne retourne pas les bons résultats. (bug #21),2024-09-27,0
22,363,High,Impossible de charger certains modèles. (bug #22),2022-01-08,1
23,205,Medium,Export PDF ne génère pas le bon format. (bug #23),2023-09-13,1
24,117,Low,Fonction de mise en forme ne s’applique pas correctement. (bug #24),2023-07-03,0
25,186,Low,Impossible de charger certains modèles. (bug #25),2023-01-16,0
26,170,High,Erreur de conversion d’encodage. (bug #26),2022-08-19,1
27,389,Low,Fonction de mise en forme ne s’applique pas correctement. (bug #27),2022-09-28,0
28,7,Low,Problème d’affichage dans l’interface utilisateur. (bug #28),2023-09-23,1
29,103,High,Problème avec les raccourcis clavier personnalisés. (bug #29),2024-02-18,0
30,260,Low,Synchronisation cloud échoue dans certaines conditions. (bug #30),2024-11-12,0
31,160,Low,Module d’impression ne répond plus. (bug #31),2022-11-04,1
32,461,High,Blocage aléatoire lors de l’édition d’un document. (bug #32),2022-04-14,0
33,345,Critical,Module d’impression ne répond plus. (bug #33),2024-11-17,0
34,444,Medium,Erreur de conversion d’encodage. (bug #34),2024-10-23,0
35,298,Medium,Synchronisation cloud échoue dans certaines conditions. (bug #35),2023-05-24,0
36,9,Low,Données corrompues lors de la fusion de documents. (bug #36),2023-10-01,1
37,402,Low,Module d’impression ne répond plus. (bug #37),2024-09-17,1
38,138,Medium,Synchronisation cloud échoue dans certaines conditions. (bug #38),2023-05-10,0
39,234,Medium,Crash lié à la gestion de la mémoire. (bug #39),2023-10-30,1
40,193,Low,Crash lors de l'ouverture du fichier. (bug #40),2024-06-04,1
41,472,Low,Fonction de mise en forme ne s’applique pas correctement. (bug #41),2023-01-02,1
42,481,Low,Synchronisation cloud échoue dans certaines conditions. (bug #42),2024-08-17,1
43,206,Critical,Erreur de conversion d’encodage. (bug #43),2024-12-02,1
44,91,Critical,La mise en page change après la réouverture du document. (bug #44),2024-01-05,1
45,223,Critical,Blocage aléatoire lors de l’édition d’un document. (bug #45),2022-04-12,1
46,218,Medium,Erreur de sauvegarde dans le module de traitement. (bug #46),2022-08-06,0
47,332,Critical,Module d’impression ne répond plus. (bug #47),2023-10-03,1
48,73,Low,Crash lors de l'ouverture du fichier. (bug #48),2022-12-31,0
49,316,Medium,Incompatibilité avec certaines extensions. (bug #49),2023-08-29,1
50,34,Low,Export PDF ne génère pas le bon format. (bug #50),2023-10-29,1
51,448,Medium,Blocage aléatoire lors de l’édition d’un document. (bug #51),2023-12-25,1
52,160,Medium,Données corrompues lors de la fusion de documents. (bug #52),2023-03-04,0
53,423,Low,Fonction de recherche ne retourne pas les bons résultats. (bug #53),2023-10-15,1
54,144,Low,Erreur de conversion d’encodage. (bug #54),2023-06-05,1
55,381,Medium,Erreur de compilation dans le module principal. (bug #55),2022-05-22,0
56,203,Medium,Fonction de mise en forme ne s’applique pas correctement. (bug #56),2023-01-29,1
57,30,Medium,Données corrompues lors de la fusion de documents. (bug #57),2024-11-16,1
58,191,Medium,Déclenchement incorrect d’un message d’avertissement. (bug #58),2023-07-07,0
59,313,High,Déclenchement incorrect d’un message d’avertissement. (bug #59),2022-09-05,0
60,466,Low,Fonction de mise en forme ne s’applique pas correctement. (bug #60),2024-09-16,0
